title,age_limit,rating,rating_count,reservation,images
원더 우먼 1984,12세 관람가,5.34,"3,746",29.75,
화양연화,15세 관람가,8.76,"1,398",14.95,
빅풋 주니어2: 패밀리가 떴다,전체 관람가,9.79,19,10.19,
완벽한 가족,15세 관람가,7.62,16,5.88,
조제,15세 관람가,6.64,"1,835",4.87,
도굴,12세 관람가,7.33,"3,778",4.68,
극장판 바이올렛 에버가든,전체 관람가,9.51,892,3.76,
걸,15세 관람가,9.70,10,3.43,
뱅가드,12세 관람가,4.02,182,2.36,
나이팅게일,청소년 관람불가,6.18,93,1.75,
굿바이,12세 관람가,9.04,"1,751",1.49,
이웃사촌,12세 관람가,5.96,"2,804",1.42,
러브레터,전체 관람가,9.12,"6,130",1.36,
런,15세 관람가,8.17,"1,213",1.22,
미스터 존스,15세 관람가,10.00,6,1.16,
100% 울프: 푸들이 될 순 없어,전체 관람가,9.43,14,0.81,
"내 어깨 위 고양이, 밥 2",전체 관람가,9.53,92,0.7,
운디네,12세 관람가,8.62,40,0.7,
신과함께-죄와 벌,12세 관람가,7.83,"57,993",0.55,
미스터 보스,15세 관람가,7.17,103,0.52,
썸머 85,15세 관람가,8.74,61,0.52,
족벌 두 신문 이야기,12세 관람가,8.94,155,0.46,
천사는 바이러스,15세 관람가,9.50,28,0.44,
에듀케이션,12세 관람가,6.30,20,0.37,
뮤직 앤 리얼리티,12세 관람가,9.50,22,0.35,
하트,청소년 관람불가,7.06,33,0.33,
가을의 마티네,12세 관람가,8.73,11,0.33,
언플랜드,15세 관람가,9.49,624,0.26,
스윙키즈,12세 관람가,8.40,"12,656",0.2,
마라가 큰 결정을 해야 해,15세 관람가,10.00,1,0.2,
동경의 황혼,,8.27,15,0.2,
테넷,12세 관람가,8.19,"10,547",0.17,
라라랜드,12세 관람가,8.61,"24,341",0.17,
글루미 선데이,청소년 관람불가,9.06,"1,365",,
달맞이꽃,,8.23,13,0.15,
호프,12세 관람가,8.65,26,0.15,
페이트 스테이 나이트 헤븐즈필 III.스프링 송,15세 관람가,9.27,530,0.13,
피아니스트의 마지막 인터뷰,전체 관람가,8.72,71,0.13,
꽁치의 맛,,8.69,84,0.13,
가을 햇살,,7.61,23,0.11,
내언니전지현과 나,12세 관람가,9.33,126,0.11,
초여름,,7.88,17,0.11,
삼진그룹 영어토익반,12세 관람가,8.35,"7,644",0.11,
극장판 기븐,15세 관람가,9.24,51,0.11,
누군가 어디에서 나를 기다리면 좋겠다,15세 관람가,7.94,16,0.09,
철도원,전체 관람가,8.58,610,0.09,
스웨그,15세 관람가,9.42,139,0.09,
장 미쉘 바스키아: 더 레이디언트 차일드,12세 관람가,9.00,9,0.09,
러브 액츄얼리,15세 관람가,8.93,"5,775",0.07,
가나의 혼인잔치: 언약,전체 관람가,9.52,335,0.07,
아이 엠 러브,청소년 관람불가,7.84,631,0.07,
겨울밤에,12세 관람가,8.00,14,0.07,
마틴 에덴,12세 관람가,8.58,120,0.04,
담보,12세 관람가,8.90,"7,700",0.04,
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,전체 관람가,8.87,82,0.04,
함께 있을 수 있다면,12세 관람가,7.00,5,0.04,
리플레이,12세 관람가,7.71,35,0.04,
제리 맥과이어,15세 관람가,9.18,"1,633",0.04,
애비규환,12세 관람가,7.03,370,0.02,
선샤인 패밀리,12세 관람가,8.17,12,0.02,
작은 빛,12세 관람가,7.34,32,0.02,
800,15세 관람가,3.63,506,,
마지막 휴가,15세 관람가,7.63,46,0.02,
전쟁,15세 관람가,5.40,10,0.01,
잔칫날,12세 관람가,9.03,227,0.01,
남매의 여름밤,전체 관람가,8.96,389,0.01,
그날이 온다,15세 관람가,4.62,8,0.01,
래시 컴 홈,전체 관람가,10.00,3,0.01,
럭키 몬스터,청소년 관람불가,6.96,79,0.01,
산티아고의 흰 지팡이,전체 관람가,8.10,49,0.01,
찬실이는 복도 많지,전체 관람가,8.73,784,0.01,
타오르는 여인의 초상,15세 관람가,9.06,"1,743",0.01,
노트북,15세 관람가,9.05,"8,660",0.01,
도망친 여자,청소년 관람불가,6.96,250,0.01,
머리카락,전체 관람가,8.31,32,0.01,
봉쇄수도원 카르투시오,전체 관람가,9.19,70,0.01,
블러드하운드,15세 관람가,10.00,5,0.01,
비긴 어게인,15세 관람가,9.04,"18,188",0.01,
파티마의 기적,12세 관람가,9.23,114,0.01,
퍼스트 러브,청소년 관람불가,7.23,39,0.01,
가스등 ,15세 관람가,8.24,33,0.01,
갇힌 여인,청소년 관람불가,6.72,18,0.01,
공작 부인,,7.00,1,0.01,
공포분자,15세 관람가,8.61,64,0.01,
교실 안의 야크,전체 관람가,9.41,147,0.01,
그리고 우린 춤을 추었다,15세 관람가,8.32,57,0.01,
극장판 미니특공대: 햄버거괴물의 습격,전체 관람가,8.48,66,0.01,
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,전체 관람가,8.17,167,0.01,
내일을 위한 시간,12세 관람가,8.55,910,0.01,
닥터 지바고,12세 관람가,8.90,259,0.01,
라우더 댄 밤즈,15세 관람가,7.95,255,0.01,
레베카,15세 관람가,8.91,86,0.01,
레이니 데이 인 뉴욕,15세 관람가,5.54,662,0.01,
로맨틱 코미디,12세 관람가,7.20,5,0.01,
루비 스팍스,15세 관람가,7.51,313,0.01,
맨체스터 바이 더 씨,15세 관람가,8.72,"1,208",0.01,
무드 인디고,15세 관람가,8.04,956,0.01,
반교: 디텐션,15세 관람가,7.81,458,0.01,
밥정,전체 관람가,9.53,193,0.01,
버든: 세상을 바꾸는 힘,15세 관람가,7.69,13,0.01,
베토벤 프로젝트,전체 관람가,9.17,6,0.01,
부활: 그 증거,전체 관람가,9.40,393,0.01,
블루 벨벳,청소년 관람불가,7.95,231,0.01,
비브르 사 비,15세 관람가,8.25,103,0.01,
아비정전,15세 관람가,8.51,770,0.01,
오르페,,7.46,13,0.01,
인 디 아일,15세 관람가,8.25,259,0.01,
일 포스티노,15세 관람가,9.18,788,0.01,
카일라스 가는 길,전체 관람가,9.31,151,0.01,
캡틴 판타스틱,15세 관람가,8.65,435,0.01,
탱크 투 베를린,15세 관람가,8.00,3,0.01,
토탈 이클립스,청소년 관람불가,8.65,764,0.01,
패터슨,12세 관람가,8.30,"1,197",0.01,
퐁네프의 연인들,청소년 관람불가,8.65,504,0.01,
프록시마 프로젝트,12세 관람가,8.04,54,0.01,
피아노,청소년 관람불가,8.65,440,0.01,
당신이 잠든 사이에,,9.08,794,,
미스 사이공: 25주년 특별 공연,15세 관람가,9.20,277,,
사랑의 블랙홀,15세 관람가,9.16,"1,577",,
펀치 드렁크 러브,15세 관람가,7.74,531,,
해리가 샐리를 만났을 때,15세 관람가,8.90,787,,
