title,age_limit,rating,rating_count,reservation,images
원더 우먼 1984,12세 관람가,5.41,"3,553",47.92,
화양연화,15세 관람가,8.76,"1,363",9.88,
조제,15세 관람가,6.65,"1,799",7.96,
도굴,12세 관람가,7.33,"3,740",6.19,
뱅가드,12세 관람가,4.14,159,5.19,
나이팅게일,청소년 관람불가,6.23,78,3.42,
100% 울프: 푸들이 될 순 없어,전체 관람가,9.43,14,3.22,
이웃사촌,12세 관람가,5.96,"2,721",1.99,
런,15세 관람가,8.16,"1,191",1.46,
극장판 바이올렛 에버가든,전체 관람가,9.49,888,1.32,
러브레터,전체 관람가,9.12,"6,122",1.16,
굿바이,12세 관람가,9.04,"1,742",1.08,
"내 어깨 위 고양이, 밥 2",전체 관람가,9.52,89,0.98,
미스터 보스,15세 관람가,7.23,93,0.9,
썸머 85,15세 관람가,8.68,57,0.88,
러브 액츄얼리,15세 관람가,8.93,"5,775",0.55,
운디네,12세 관람가,8.59,34,0.55,
언플랜드,15세 관람가,9.49,618,0.42,
리플레이,12세 관람가,7.81,32,0.29,
삼진그룹 영어토익반,12세 관람가,8.36,"7,636",0.21,
뮤직 앤 리얼리티,12세 관람가,9.50,22,0.17,
테넷,12세 관람가,8.20,"10,529",0.16,
족벌 두 신문 이야기,12세 관람가,8.79,114,0.15,
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,전체 관람가,8.87,82,0.13,
가을의 마티네,12세 관람가,8.73,11,0.13,
가나의 혼인잔치: 언약,전체 관람가,9.51,331,0.12,
스웨그,15세 관람가,9.42,139,0.11,
전쟁,15세 관람가,5.86,7,0.1,
누군가 어디에서 나를 기다리면 좋겠다,15세 관람가,8.54,13,0.1,
함께 있을 수 있다면,12세 관람가,7.00,5,0.09,
피아니스트의 마지막 인터뷰,전체 관람가,8.72,71,0.09,
내언니전지현과 나,12세 관람가,9.37,123,0.06,
페이트 스테이 나이트 헤븐즈필 III.스프링 송,15세 관람가,9.26,530,0.05,
호프,12세 관람가,8.65,26,0.05,
장 미쉘 바스키아: 더 레이디언트 차일드,12세 관람가,9.71,7,0.05,
극장판 기븐,15세 관람가,9.19,48,0.03,
선샤인 패밀리,12세 관람가,7.25,8,0.03,
라라랜드,12세 관람가,8.61,"24,339",0.02,
하트,청소년 관람불가,7.12,33,0.02,
담보,12세 관람가,8.90,"7,690",0.02,
잔칫날,12세 관람가,9.06,220,0.02,
봉쇄수도원 카르투시오,전체 관람가,9.19,70,0.02,
겨울밤에,12세 관람가,8.00,14,0.02,
노트북,15세 관람가,9.05,"8,661",0.02,
글루미 선데이,청소년 관람불가,9.06,"1,364",,
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,전체 관람가,8.17,167,0.02,
극장판 미니특공대: 햄버거괴물의 습격,전체 관람가,8.60,65,0.02,
파티마의 기적,12세 관람가,9.22,113,0.02,
그리고 우린 춤을 추었다,15세 관람가,8.32,56,0.02,
남매의 여름밤,전체 관람가,8.96,387,0.02,
퍼스트 러브,청소년 관람불가,7.24,38,0.01,
안티고네,15세 관람가,8.29,79,0.01,
애비규환,12세 관람가,7.01,367,0.01,
철도원,전체 관람가,8.58,610,0.01,
사랑의 블랙홀,15세 관람가,9.16,"1,577",,
800,15세 관람가,3.61,502,,
교실 안의 야크,전체 관람가,9.42,143,0.01,
에듀케이션,12세 관람가,6.48,21,0.01,
존 윅 3: 파라벨룸,청소년 관람불가,8.01,"5,944",0.01,
럭키 몬스터,청소년 관람불가,6.93,72,0.01,
부활: 그 증거,전체 관람가,9.40,393,0.01,
비긴 어게인,15세 관람가,9.04,"18,191",0.01,
달맞이꽃,,8.42,12,0.01,
아이 엠 러브,청소년 관람불가,7.84,631,0.01,
로맨틱 코미디,12세 관람가,7.20,5,0.01,
마지막 휴가,15세 관람가,7.64,45,0.01,
귀여운 여인,청소년 관람불가,8.72,958,,
소년시절의 너,15세 관람가,9.39,"1,495",,
프리키 데스데이,청소년 관람불가,6.80,447,0.01,
마틴 에덴,12세 관람가,8.58,120,0.01,
그날이 온다,15세 관람가,4.62,8,0.01,
산티아고의 흰 지팡이,전체 관람가,8.10,49,0.01,
머리카락,전체 관람가,8.31,32,0.01,
윤희에게,12세 관람가,8.99,"2,386",0.01,
"조제, 호랑이 그리고 물고기들",15세 관람가,9.00,"7,122",0.01,
찬실이는 복도 많지,전체 관람가,8.73,782,0.01,
타오르는 여인의 초상,15세 관람가,9.07,"1,741",0.01,
탱크 투 베를린,15세 관람가,8.00,3,0.01,
퐁네프의 연인들,청소년 관람불가,8.65,504,0.01,
가을 햇살,,7.61,23,0.01,
공작 부인,,7.00,1,0.01,
꽁치의 맛,,8.67,83,0.01,
도망친 여자,청소년 관람불가,6.96,247,0.01,
동경의 황혼,,8.27,15,0.01,
레베카,15세 관람가,8.91,86,0.01,
루비 스팍스,15세 관람가,7.50,312,0.01,
밥정,전체 관람가,9.58,191,0.01,
버든: 세상을 바꾸는 힘,15세 관람가,7.69,13,0.01,
아비정전,15세 관람가,8.50,767,0.01,
작은 빛,12세 관람가,7.34,32,0.01,
제리 맥과이어,15세 관람가,9.18,"1,633",0.01,
초여름,,7.88,17,0.01,
캡틴 판타스틱,15세 관람가,8.65,435,0.01,
프록시마 프로젝트,12세 관람가,8.04,54,0.01,
하나와 앨리스,12세 관람가,8.12,"1,596",0.01,
뜨거운 것이 좋아,,9.07,44,,
미스 사이공: 25주년 특별 공연,15세 관람가,9.20,277,,
펀치 드렁크 러브,15세 관람가,7.74,531,,
해리가 샐리를 만났을 때,15세 관람가,8.90,787,,
흐트러지다,15세 관람가,9.40,5,,
